conf;M1;valutazione;anno;codaz
114;0,005;Reg/Neg/n.a.;2.010,00;135BG005
117;0,005;Reg/Neg/n.a.;2.010,00;059BG012
3.968;0,01;Reg/Neg/n.a.;2.013,00;070BG104
3.976;0;Reg/Neg/n.a.;2.013,00;070BG024
7.545;0,02;Reg/Neg/n.a.;2.016,00;152BG006
12.027;0;Reg/Neg/n.a.;2.013,00;027BG001
19.883;0,04;Reg/Neg/n.a.;2.013,00;062BG008
20.528;0,02;Reg/Neg/n.a.;2.014,00;207BG002
20.534;0;Reg/Neg/n.a.;2.014,00;081BG006
20.539;0,01;Reg/Neg/n.a.;2.014,00;126BG004
20.541;0,02;Reg/Neg/n.a.;2.014,00;207BG020
20.545;0;Reg/Neg/n.a.;2.014,00;207BG008
20.548;0,01;Reg/Neg/n.a.;2.014,00;207BG011
20.560;0,01;Reg/Neg/n.a.;2.014,00;091BG002
20.744;0,01;Reg/Neg/n.a.;2.014,00;091BG002
22.303;0,01;Reg/Neg/n.a.;2.014,00;245BG045
22.304;0,01;Reg/Neg/n.a.;2.014,00;245BG024
22.305;0,02;Reg/Neg/n.a.;2.014,00;016BG009
23.519;0;Reg/Neg/n.a.;2.014,00;222BG002
23.846;0,01;Reg/Neg/n.a.;2.015,00;033PR100
25.208;0,01;Reg/Neg/n.a.;2.014,00;213BG011
25.210;0;Reg/Neg/n.a.;2.014,00;203BG017
25.337;0;Reg/Neg/n.a.;2.014,00;036BG001
25.341;0;Reg/Neg/n.a.;2.014,00;036BG008
26.046;0,02;Reg/Neg/n.a.;2.016,00;082BG022
26.649;0,01;Reg/Neg/n.a.;2.014,00;008BG006
26.651;0,03;Reg/Neg/n.a.;2.014,00;060BG028
28.147;0;Reg/Neg/n.a.;2.014,00;082BG018
28.813;0,03;Reg/Neg/n.a.;2.016,00;016BG009
28.915;0,01;Reg/Neg/n.a.;2.014,00;015BG007
28.916;0;Reg/Neg/n.a.;2.014,00;245BG007
28.917;0,01;Reg/Neg/n.a.;2.014,00;015BG006
28.920;0;Reg/Neg/n.a.;2.014,00;245BG010
30.609;0,02;Reg/Neg/n.a.;2.013,00;013BG034
32.633;0,08;Irr/Pos;2.013,00;167BG004
33.502;0,04;Reg/Neg/n.a.;2.016,00;195BG002
33.876;0;Reg/Neg/n.a.;2.014,00;245BG006
34.610;0,01;Reg/Neg/n.a.;2.016,00;038BG006
35.205;0,03;Reg/Neg/n.a.;2.016,00;156BG043
36.874;0,02;Reg/Neg/n.a.;2.013,00;040BG025
36.911;0,01;Reg/Neg/n.a.;2.013,00;013BG013
38.036;0,01;Reg/Neg/n.a.;2.016,00;209BG029
38.043;0,01;Reg/Neg/n.a.;2.016,00;213BG011
38.181;0;Reg/Neg/n.a.;2.014,00;156BG012
38.186;0,05;Irr/Pos;2.014,00;156BG039
40.337;0,02;Reg/Neg/n.a.;2.013,00;013BG003
40.376;0,03;Reg/Neg/n.a.;2.013,00;154BG003
40.380;0,02;Reg/Neg/n.a.;2.013,00;040BG002
40.431;0,03;Reg/Neg/n.a.;2.013,00;206BG007
40.444;0,02;Reg/Neg/n.a.;2.013,00;199BG015
40.450;0,05;Reg/Neg/n.a.;2.013,00;146BG047
40.453;0,03;Reg/Neg/n.a.;2.013,00;146BG024
40.460;0,04;Reg/Neg/n.a.;2.013,00;146BG025
40.463;0,01;Reg/Neg/n.a.;2.013,00;199BG012
40.782;0,01;Reg/Neg/n.a.;2.016,00;124BG004
40.789;0,04;Reg/Neg/n.a.;2.016,00;220BG003
41.423;0,03;Reg/Neg/n.a.;2.013,00;109BG002
41.563;0,02;Reg/Neg/n.a.;2.013,00;167BG004
42.145;0,01;Reg/Neg/n.a.;2.016,00;092BG074
