codaz;lat;lon;nord;est;hsize
001BG003/7;45,70247385;9,954840326;5061529;1574334;3
001BG003/6;45,70247385;9,954840326;5061529;1574334;0
001BG004/1;45,70130741;9,945975919;5061310;1573642;14
001BG006/1;45,70580336;9,93996258;5061804;1573168;2
001BG008/1;45,70585631;9,941183865;5061811;1573263;6
001BG010/2;45,70341103;9,94849568;5061628;1573839;23
001BG011/1;45,70539183;9,949461844;5061767;1573908;0
001BG013/1;45,70256935;9,945753124;5061450;1573623;16
001BG015/1;45,70813755;9,955880307;5062078;1574404;4
001BG017/1;45,70639035;9,957083797;5061885;1574500;10
001BG018/2;45,70884407;9,957498211;5062158;1574529;6
001BG019/1;45,70304619;9,938130864;5061496;1573029;7
001BG021/1;45,70072852;9,94414216;5061244;1573500;3
001BG034/1;45,69855352;9,943758772;5061002;1573473;5
001BG037/4;45,69759651;9,943023397;5060895;1573417;0
001BG039/1;45,71527078;9,952083079;5062867;1574099;5
001BG043/1;45,73847202;9,967387424;5065459;1575259;20
001BG047/1;45,68925273;9,93874023;5060046;1573098;4
001BG050/1;45,69519628;9,940478532;5060626;1573222;4
001BG050/2;45,69519628;9,940478532;5060626;1573222;0
001BG054/1;45,68893758;9,95180829;5060023;1574116;0
001BG056/3;45,68635782;9,950244362;5059653;1573994;0
001BG058/2;45,6917768;9,944749353;5060250;1573559;0
001BG058/3;45,6917768;9,944749353;5060250;1573559;0
001BG060/2;45,70314452;9,942589944;5061511;1573376;2
001BG064/1;45,69424778;9,93431056;5060515;1572743;3
001BG068/1;45,68943301;9,94518509;5059990;1573596;2
001BG071/1;45,68614473;9,947723774;5059627;1573798;0
001BG076/1;45,70093304;9,94553287;5061268;1573608;2
001BG077/1;45,68730768;9,947499403;5059756;1573779;0
001BG077/2;45,68730768;9,947499403;5059756;1573779;0
001BG078/6;45,69889094;9,941041376;5061037;1573261;4
001BG078/14;45,69889094;9,941041376;5061037;1573261;1
001BG081/4;45,68812299;9,95012013;5059849;1573982;2
001BG083/1;45,71707772;9,95126572;5063067;1574033;0
001BG095/1;45,69214774;9,93253417;5060362;1572611;0
001BG096/2;45,70982118;9,953044404;5062344;1574184;2
002BG002/1;45,71438756;9,961896975;5062778;1574864;5
002BG003/1;45,72369378;9,97047356;5063820;1575519;4
002BG005/1;45,72025974;9,96572405;5063434;1575154;5
002BG007/1;45,71289045;9,965455862;5062615;1575143;0
002BG009/3;45,71410182;9,955185341;5062740;1574342;3
002BG012/1;45,73697054;9,967194418;5065292;1575246;12
002BG013/1;45,72157493;9,970364002;5063666;1575516;10
002BG014/2;45,71191702;9,960274356;5062502;1574741;0
002BG021/1;45,75336379;9,9710774;5067117;1575526;5
002BG022/1;45,71160182;9,960294656;5062467;1574743;0
002BG023/1;45,72080504;9,96402945;5063575;1575025;0
002BG028/1;45,72223326;9,965870239;5063735;1575166;1
003BG001/8;45,68608683;9,781640745;5059481;1560865;6
003BG002/2;45,69688362;9,786170915;5060684;1561206;1
003BG007/2;45,68149646;9,768363819;5058961;1559836;11
003BG015/1;45,69441733;9,775643138;5060402;1560389;2
003BG021/1;45,68384254;9,788646495;5059237;1561413;0
003BG030/1;45,68594924;9,780701387;5059465;1560792;5
003BG031/1;45,69477951;9,77532705;5060442;1560364;1
003BG043/1;45,6977767;9,778571787;5060859;1560616;0
004BG001/1;45,75580719;9,800809953;5067323;1562283;0
004BG002/1;45,76942618;9,779986607;5068739;1560646;7
004BG003/5;45,74812719;9,83527922;5066416;1564970;1
004BG005/1;45,77156691;9,788067615;5068983;1561272;4
004BG009/1;45,768446;9,783805417;5068633;1560944;4
004BG010/1;45,78716514;9,821285737;5070742;1563837;4
004BG011/4;45,75808688;9,813362984;5067505;1563254;2
004BG012/3;45,77023557;9,827455053;5068866;1564336;2
004BG020/1;45,78673776;9,81560608;5070690;1563396;55
004BG025/1;45,75597852;9,831191786;5067285;1564643;1
004BG026/1;45,76596543;9,829230947;5068393;1564479;21
004BG028/2;45,7705264;9,79276013;5068871;1561638;4
004BG029/5;45,7435461;9,858336903;5065926;1566769;6
004BG030/1;45,76954557;9,806880334;5068773;1562737;28
004BG031/1;45,76206467;9,795520814;5067933;1561862;26
004BG033/2;45,76874111;9,825015162;5068698;1564148;1
004BG034/1;45,76577698;9,820419057;5068365;1563794;0
004BG037/1;45,7562086;9,812962839;5067296;1563225;7
004BG038/1;45,7602147;9,817894431;5067745;1563604;1
004BG041/1;45,74386294;9,836231211;5065943;1565049;3
004BG044/1;45,77166854;9,77848734;5068987;1560527;1
004BG045/1;45,74399864;9,854397349;5065973;1566462;31
004BG048/1;45,76978661;9,783875624;5068782;1560948;1
004BG051/3;45,7711727;9,808434267;5068955;1562856;1
004BG052/1;45,77036443;9,779665288;5068843;1560620;1
004BG052/3;45,77036443;9,779665288;5068843;1560620;0
004BG053/1;45,7467428;9,86768048;5066289;1567492;0
004BG080/4;45,760733;9,824678608;5067808;1564131;7
004BG082/3;45,74718415;9,850872021;5066324;1566184;0
004BG083/1;45,77096732;9,810746316;5068934;1563036;0
004BG083/3;45,77096732;9,810746316;5068934;1563036;0
004BG098/2;45,75250428;9,859194115;5066922;1566825;3
004BG104/1;45,75621137;9,82638642;5067307;1564269;1
004BG109/1;45,75530939;9,802650859;5067188;1562424;9
004BG112/1;45,76056801;9,822593053;5067788;1563969;0
004BG120/1;45,77292368;9,8115592;5069152;1563097;1
004BG127/1;45,75816622;9,827392487;5067525;1564345;0
004BG128/1;45,74980854;9,834288632;5066602;1564891;2
004BG128/4;45,74980854;9,834288632;5066602;1564891;10
004BG139/1;45,74300471;9,829251122;5065842;1564507;0
004BG143/1;45,75715204;9,861129808;5067440;1566970;1
004BG146/2;45,74985681;9,85696794;5066626;1566655;0
004BG158/4;45,7507918;9,857110807;5066730;1566665;0
004BG160/1;45,76834809;9,82459783;5068654;1564116;0
004BG172/1;45,74455641;9,84838965;5066030;1565994;2
004BG192/5;45,74144069;9,84372776;5065680;1565635;3
004BG218/3;45,7477217;9,83040081;5066367;1564591;0
004BG220/1;45,78753809;9,81696857;5070780;1563501;4
004BG221/1;45,75799581;9,81855638;5067499;1563658;12
004BG222/2;45,74325667;9,84645461;5065884;1565845;2
004BG228/3;45,76081526;9,8194977;5067813;1563728;2
004BG231/1;45,75750432;9,82806419;5067452;1564398;0
004BG241/3;45,75438209;9,798163634;5067163;1562079;0
004BG294/3;45,76083898;9,804804864;5067886;1562588;1
004BG298/1;45,75568714;9,800918628;5067310;1562292;1
004BG306/2;45,7600926;9,785373407;5067788;1561078;0
004BG322/1;45,75284314;9,860304566;5067042;1566914;3
005BG001/2;45,73577896;9,61690094;5064890;1547994;4
005BG002/5;45,73601153;9,627096047;5064922;1548787;9
005BG008/3;45,7411749;9,611021604;5065486;1547532;2
005BG010/10;45,73293842;9,612872585;5064572;1547683;1
005BG012/4;45,73707525;9,603367723;5065026;1546940;1
006BG003/2;45,74989632;9,567379415;5066430;1544130;0
006BG004/1;45,760088;9,544542723;5067550;1542346;2
006BG021/3;45,73346996;9,583523133;5064614;1545399;0
006BG022/1;45,735197;9,592486763;5064811;1546095;0
006BG023/1;45,74946809;9,550019163;5066373;1542780;11
006BG025/1;45,75593892;9,552011319;5067093;1542930;1
006BG026/4;45,72856723;9,593509108;5064075;1546180;3
006BG036/1;45,75861739;9,558338286;5067394;1543420;0
006BG037/1;45,75921552;9,540625269;5067451;1542042;14
006BG039/4;45,73989298;9,57888539;5065325;1545033;0
006BG042/2;45,75689691;9,553062248;5067200;1543011;0
006BG045/1;45,75967394;9,561306286;5067513;1543650;1
006BG046/1;45,75024761;9,545115661;5066457;1542398;1
006BG053/1;45,75634612;9,564474552;5067145;1543899;6
006BG054/1;45,75816209;9,548265754;5067338;1542637;2
006BG059/2;45,72826742;9,592310758;5064041;1546087;2
006BG060/1;45,76666074;9,555293414;5068286;1543177;7
006BG061/3;45,73734589;9,59465599;5065051;1546262;2
006BG063/1;45,73427932;9,594147926;5064710;1546225;0
006BG070/4;45,75744473;9,540132439;5067254;1542005;4
006BG081/4;45,7587502;9,558789652;5067409;1543455;3
006BG085/1;45,76507383;9,54275222;5068103;1542203;4
006BG087/1;45,75218284;9,55815848;5066679;1543411;0
006BG087/4;45,75218284;9,55815848;5066679;1543411;0
006BG100/5;45,7571122;9,54227619;5067300;1542175;0
006BG103/1;45,75748063;9,542272644;5067340;1542174;3
006BG107/2;45,7669644;9,558045752;5068403;1543393;0
006BG113/2;45,75827295;9,54646177;5067356;1542526;0
007BG002/1;45,75348597;9,590802923;5066842;1545949;1
007BG005/1;45,73932024;9,599214359;5065273;1546615;0
007BG007/1;45,75972302;9,578550148;5067528;1544991;5
007BG019/1;45,75643828;9,587285283;5067168;1545673;1
007BG055/1;45,74972933;9,584205411;5066502;1545441;2
008BG002/3;45,76376351;9,708267305;5068058;1555075;1
008BG006/4;45,74068188;9,737386119;5065514;1557363;65
008BG007/1;45,74101181;9,737866068;5065551;1557400;9
008BG007/5;45,74101181;9,737866068;5065551;1557400;1
008BG008/4;45,76801267;9,715355732;5068535;1555622;45
008BG010/1;45,76341189;9,702527546;5068015;1554629;6
008BG015/3;45,74452719;9,71596528;5066008;1555696;2
008BG016/5;45,7658753;9,713242;5068378;1555463;1
008BG021/4;45,76369541;9,707636328;5068050;1555026;2
008BG022/1;45,76419176;9,707423984;5068105;1555009;11
008BG023/1;45,76439828;9,707503751;5068128;1555015;3
008BG028/1;45,76639358;9,705046948;5068348;1554822;4
008BG029/1;45,74606921;9,718225215;5066099;1555867;1
008BG030/1;45,75301815;9,699272968;5066858;1554386;2
008BG032/2;45,75115504;9,71814897;5066664;1555856;0
008BG036/1;45,74115741;9,72210857;5065556;1556174;2
008BG041/4;45,76783701;9,70596535;5068509;1554892;1
008BG043/1;45,74157955;9,737757851;5065614;1557391;2
008BG051/2;45,75824085;9,717776891;5067451;1555820;1
008BG071/2;45,74041942;9,736212938;5065484;1557272;0
008BG075/2;45,76253592;9,705924261;5067920;1554894;0
008BG079/1;45,74290187;9,725216175;5065752;1556414;8
008BG082/1;45,74062269;9,71697285;5065493;1555775;0
008BG098/3;45,76073989;9,70245248;5067800;1554629;2
009BG002/2;45,72557952;9,529223729;5063708;1541180;3
009BG008/1;45,71718088;9,54854626;5062785;1542690;0
009BG009/2;45,72597157;9,53826097;5063838;1541886;0
009BG009/4;45,72597157;9,53826097;5063838;1541886;0
009BG010/2;45,71593064;9,544602387;5062644;1542384;0
009BG012/1;45,7182354;9,553850384;5062905;1543102;0
009BG013/1;45,72630247;9,526647513;5063787;1540979;1
009BG022/1;45,71989837;9,545951199;5063167;1542489;1
010BG001/2;45,48050393;9,79897275;5036654;1562442;31
010BG003/2;45,47953284;9,805241237;5036551;1562933;770
010BG003/4;45,47953284;9,805241237;5036551;1562933;0
010BG007/1;45,48241946;9,780983934;5036853;1561034;180
010BG007/4;45,48241946;9,780983934;5036853;1561034;18
010BG009/3;45,4983419;9,795397913;5038633;1562143;0
010BG010/1;45,49622434;9,793141186;5038396;1561969;229
010BG011/2;45,48881944;9,805591001;5037583;1562950;1
010BG012/5;45,48856618;9,822197583;5037568;1564248;129
010BG014/1;45,48754934;9,805726468;5037442;1562962;24
010BG015/1;45,48852558;9,78311573;5037533;1561194;535
010BG017/1;45,48295428;9,812724119;5036937;1563514;1246
010BG018/1;45,49821555;9,81081886;5038631;1563348;1
010BG023/5;45,49223563;9,817592615;5037972;1563884;4
010BG023/7;45,49223563;9,817592615;5037972;1563884;154
010BG026/1;45,48876779;9,783234255;5037560;1561203;0
010BG027/1;45,48901202;9,783058482;5037587;1561189;0
010BG032/1;45,48542744;9,782061946;5037188;1561115;7
010BG034/3;45,49594907;9,799063;5038370;1562432;2
010BG036/1;45,48370698;9,787489108;5037001;1561541;1
